endpoint,k,variant,negative_intent,terms_with_volume,total_volume,weighted_violation_rate,weighted_compliant_rate,weighted_unclear_rate
lexical,10,control,pull,53,820714,0.1587573746761966,0.8336945635142082,0.00754806180959506
lexical,10,control,rawhide,47,760133,0.08302744388153126,0.8717633624642003,0.0452091936542684
lexical,10,control,hide,36,388507,0.24323422743991746,0.7553537001907302,0.0014120723693524183
lexical,10,control,stuffing,24,369948,0.0016380680528074215,0.9983619319471926,0.0
lexical,10,control,dust,14,170435,0.19788365065860888,0.26798955613577025,0.5341267932056208
lexical,10,control,mess,14,59732,0.055367307305966645,0.6624070849795753,0.2822256077144579
lexical,10,control,gluten,10,66998,0.3240619122958894,0.6534807009164453,0.0224573867876653
lexical,10,control,odor,10,65047,0.052302181499531114,0.9338232355066337,0.013874582993835228
lexical,10,control,corn,9,26069,0.22893091411254746,0.6383252138555372,0.1327438720319153
lexical,10,control,waste,9,90813,0.09109929195159283,0.5699932829000254,0.3389074251483818
lexical,10,control,gmo,7,43028,0.0,1.0,0.0
lexical,10,control,non clumping,7,175160,0.9901832610184974,0.0077935887188855905,0.002023150262617036
lexical,10,control,poultry,7,28243,0.9869241936054952,0.013075806394504834,0.0
lexical,10,control,soy,6,23601,0.07815346807338672,0.9218465319266133,0.0
lexical,10,control,spill,6,94240,0.5086322156196944,0.42651952461799664,0.064848259762309
lexical,10,control,chew,5,51318,0.2971062784987724,0.7028937215012276,0.0
lexical,10,control,shock,5,26156,0.832130295152164,0.16786970484783606,0.0
lexical,10,control,sugar,5,22557,0.30996143104136187,0.20427805115928535,0.4857605177993527
lexical,10,control,tracking,5,39207,0.46132068253118064,0.29750299691381643,0.2411763205550029
lexical,10,control,melt,4,15479,0.0946055946766587,0.5915369209897281,0.3138574843336133
lexical,10,control,poo,4,15555,0.8149148183863709,0.18508518161362905,0.0
lexical,10,control,poop,4,41032,0.8049961006044064,0.1950038993955937,0.0
lexical,10,control,scratch,4,13691,0.793194434299905,0.14407274852092616,0.0627328171791688
lexical,10,control,squeak,4,44033,0.9088660777144414,0.09113392228555856,0.0
lexical,10,control,wheat,4,25483,0.02731625004905231,0.9180512498528431,0.05463250009810462
lexical,10,control,allergy,3,8756,0.20615577889447237,0.6439241662859754,0.1499200548195523
lexical,10,control,fragrance,3,13202,0.35502954097863965,0.31040751401302835,0.3345629450083321
lexical,10,control,"grain, chicken",3,14179,0.8575216870019041,0.14247831299809577,0.0
lexical,10,control,non gmo,3,4415,0.9324575311438279,0.022514156285390715,0.04502831257078143
lexical,10,control,scent,3,8027,1.0,0.0,0.0
lexical,10,control,unscented,3,9558,0.9694915254237287,0.02033898305084746,0.01016949152542373
lexical,10,control,zip,3,3629,0.25659961421879307,0.656930283824745,0.08647010195646183
lexical,10,control,clay,2,8250,0.4202181818181818,0.43483636363636363,0.14494545454545454
lexical,10,control,clumping,2,7730,0.18274256144890041,0.8172574385510997,0.0
lexical,10,control,ears,2,9348,0.7,0.29999999999999993,0.0
lexical,10,control,fat,2,10582,0.1735777735777736,0.2378000378000378,0.5886221886221886
lexical,10,control,free,2,8017,0.717880753399027,0.28211924660097293,0.0
lexical,10,control,non prescription,2,2306,0.25329575021682565,0.6065915004336513,0.14011274934952297
lexical,10,control,pee,2,3586,0.9710819854991635,0.028918014500836586,0.0
lexical,10,control,prescription,2,27113,0.8532069486961974,0.1467930513038026,0.0
lexical,10,control,teeth,2,4663,1.0,0.0,0.0
lexical,10,control,tip,2,12866,0.1933468055339655,0.6,0.2066531944660345
lexical,10,control,additives,1,1600,0.0,0.0,1.0
lexical,10,control,aller,1,974,1.0,0.0,0.0
lexical,10,control,bark,1,10077,0.8,0.2,0.0
lexical,10,control,bell,1,3873,1.0,0.0,0.0
lexical,10,control,bpa,1,1302,0.0,0.0,1.0
lexical,10,control,carpet,1,1496,1.0,0.0,0.0
lexical,10,control,cat pee,1,1215,0.5,0.5,0.0
lexical,10,control,catnip,1,1519,1.0,0.0,0.0
lexical,10,control,choke,1,1536,0.0,1.0,0.0
lexical,10,control,clump,1,3211,1.0,0.0,0.0
lexical,10,control,corn and soy,1,2593,0.1,0.9000000000000001,0.0
lexical,10,control,d3,1,1856,0.3,0.7,0.0
lexical,10,control,dehp,1,5570,1.0,0.0,0.0
lexical,10,control,"dust, scent",1,1132,0.2,0.3,0.5
lexical,10,control,escape,1,1062,0.4,0.6,0.0
lexical,10,control,fish,1,1456,1.0,0.0,0.0
lexical,10,control,gain,1,977,1.0,0.0,0.0
lexical,10,control,"grain, fat",1,1870,1.0,0.0,0.0
lexical,10,control,grow,1,2780,0.1,0.6,0.3
lexical,10,control,hides,1,2331,0.4,0.6,0.0
lexical,10,control,holes,1,2104,0.875,0.125,0.0
lexical,10,control,iodine,1,3331,0.0,0.0,1.0
lexical,10,control,kibble,1,1761,1.0,0.0,0.0
lexical,10,control,legume,1,7084,0.8333333333333334,0.1666666666666666,0.0
lexical,10,control,lick,1,1801,1.0,0.0,0.0
lexical,10,control,medicated,1,5619,0.5,0.5,0.0
lexical,10,control,millet,1,1078,1.0,0.0,0.0
lexical,10,control,no bark,1,7969,1.0,0.0,0.0
lexical,10,control,no melt,1,2781,1.0,0.0,0.0
lexical,10,control,non absorbent,1,1507,0.3,0.2,0.5
lexical,10,control,"non clumping unscented cat litter

the user is actually looking for cat litter",1,11479,1.0,0.0,0.0
lexical,10,control,pea,1,5939,1.0,0.0,0.0
lexical,10,control,pill,1,2506,1.0,0.0,0.0
lexical,10,control,poop eating,1,16984,0.4,0.5,0.1
lexical,10,control,probiotic,1,982,1.0,0.0,0.0
lexical,10,control,protein,1,5096,1.0,0.0,0.0
lexical,10,control,rice,1,1195,1.0,0.0,0.0
lexical,10,control,salt,1,1015,0.0,0.0,1.0
lexical,10,control,scented,1,1755,0.9,0.0,0.1
lexical,10,control,scoot,1,25922,1.0,0.0,0.0
lexical,10,control,seafood,1,1668,0.0,1.0,0.0
lexical,10,control,shell,1,1278,0.2,0.2,0.6
lexical,10,control,soy and corn,1,1287,0.10000000000000002,0.8999999999999999,0.0
lexical,10,control,spray,1,2497,1.0,0.0,0.0
lexical,10,control,squeaker,1,1524,1.0,0.0,0.0
lexical,10,control,squeaky,1,17562,0.0,0.0,1.0
lexical,10,control,squirrel,1,5398,0.7,0.3,0.0
lexical,10,control,stink,1,3161,0.3,0.7,0.0
lexical,10,control,stuff,1,1489,0.6,0.4,0.0
lexical,10,control,stuffed,1,6207,0.0,1.0,0.0
lexical,10,control,sunflower seeds,1,3792,0.7,0.1,0.2
lexical,10,control,tear,1,7647,0.5,0.3,0.2
lexical,10,control,toot,1,1991,1.0,0.0,0.0
lexical,10,control,toxic,1,1267,0.0,1.0,0.0
lexical,10,control,track,1,1419,0.8,0.2,0.0
lexical,10,control,"unscented
dust",1,1250,0.4,0.6,0.0
lexical,10,control,waste free,1,2251,1.0,0.0,0.0
lexical,10,control,yeast,1,6961,0.1,0.0,0.9000000000000001
lexical,4,control,all negative intent,793,7012954,0.19897285794260164,0.770600662716453,0.03042647934094534
lexical,4,control,grain,332,2692575,0.0333813357102402,0.9566461472753777,0.009972517014382143
lexical,4,control,chicken,59,461986,0.7541684163589373,0.23779724926729381,0.008034334373768902
lexical,4,control,pull,53,820714,0.22091617786463982,0.773576422480913,0.005507399654447225
lexical,4,control,rawhide,47,760133,0.02657857243403457,0.9672623080434608,0.0061591195225046145
lexical,4,control,hide,36,388507,0.14764341440437367,0.8512008792634367,0.0011557063321896387
lexical,4,control,stuffing,24,369948,0.0,1.0,0.0
lexical,4,control,dust,14,170435,0.17694575644673924,0.5059949540880687,0.317059289465192
lexical,4,control,mess,14,59732,0.036776769570749344,0.8254704346079154,0.1377527958213353
lexical,4,control,gluten,10,66998,0.4008030090450461,0.5991969909549539,0.0
lexical,4,control,odor,10,65047,0.057623718234507355,0.9076898242809046,0.03468645748458807
lexical,4,control,corn,9,26069,0.3374314319690053,0.6032740036058153,0.05929456442517933
lexical,4,control,waste,9,90813,0.04668935064363032,0.6545979099908603,0.29871273936550935
lexical,4,control,gmo,7,43028,0.0,1.0,0.0
lexical,4,control,non clumping,7,175160,0.9916433546471797,0.00835664535282028,0.0
lexical,4,control,poultry,7,28243,0.9673104840137379,0.03268951598626208,0.0
lexical,4,control,soy,6,23601,0.0,1.0,0.0
lexical,4,control,spill,6,94240,0.26737850169779287,0.5705008488964346,0.1621206494057725
lexical,4,control,chew,5,51318,0.21234264780388948,0.7876573521961105,0.0
lexical,4,control,shock,5,26156,0.6799013610643829,0.3200986389356171,0.0
lexical,4,control,sugar,5,22557,0.2603293877731968,0.2513853792614266,0.4882852329653766
lexical,4,control,tracking,5,39207,0.5896969928839237,0.29354452011120463,0.11675848700487158
lexical,4,control,melt,4,15479,0.17738549001873505,0.6802926545642484,0.1423218554170166
lexical,4,control,poo,4,15555,0.7954998392799743,0.20450016072002572,0.0
lexical,4,control,poop,4,41032,0.7397640865665822,0.26023591343341784,0.0
lexical,4,control,scratch,4,13691,0.9813928858374115,0.01860711416258856,0.0
lexical,4,control,squeak,4,44033,1.0,0.0,0.0
lexical,4,control,wheat,4,25483,0.06829062512263077,0.9317093748773693,0.0
lexical,4,control,allergy,3,8756,0.3901895842850617,0.5549052078574692,0.05490520785746916
lexical,4,control,fragrance,3,13202,0.1809953037418573,0.6380093925162854,0.1809953037418573
lexical,4,control,"grain, chicken",3,14179,0.6670075463713944,0.3329924536286057,0.0
lexical,4,control,non gmo,3,4415,1.0,0.0,0.0
lexical,4,control,scent,3,8027,1.0,0.0,0.0
lexical,4,control,unscented,3,9558,0.9491525423728814,0.05084745762711865,0.0
lexical,4,control,zip,3,3629,0.21617525489115458,0.7838247451088454,0.0
lexical,4,control,clay,2,8250,0.6376363636363637,0.1811818181818182,0.1811818181818182
lexical,4,control,clumping,2,7730,0.456856403622251,0.543143596377749,0.0
lexical,4,control,ears,2,9348,0.5,0.5,0.0
lexical,4,control,fat,2,10582,0.18394443394443394,0.26422226422226425,0.5518333018333018
lexical,4,control,free,2,8017,0.524884620182113,0.475115379817887,0.0
lexical,4,control,non prescription,2,2306,0.1332393755420642,0.6332393755420642,0.23352124891587164
lexical,4,control,pee,2,3586,1.0,0.0,0.0
lexical,4,control,prescription,2,27113,0.8532069486961974,0.1467930513038026,0.0
lexical,4,control,teeth,2,4663,1.0,0.0,0.0
lexical,4,control,tip,2,12866,0.25,0.5,0.25
lexical,4,control,additives,1,1600,0.0,0.0,1.0
lexical,4,control,aller,1,974,1.0,0.0,0.0
lexical,4,control,bark,1,10077,0.75,0.25,0.0
lexical,4,control,bell,1,3873,1.0,0.0,0.0
lexical,4,control,bpa,1,1302,0.0,0.0,1.0
lexical,4,control,carpet,1,1496,1.0,0.0,0.0
lexical,4,control,cat pee,1,1215,0.5,0.5,0.0
lexical,4,control,catnip,1,1519,1.0,0.0,0.0
lexical,4,control,choke,1,1536,0.0,1.0,0.0
lexical,4,control,clump,1,3211,1.0,0.0,0.0
lexical,4,control,corn and soy,1,2593,0.0,1.0,0.0
lexical,4,control,d3,1,1856,0.0,1.0,0.0
lexical,4,control,dehp,1,5570,1.0,0.0,0.0
lexical,4,control,"dust, scent",1,1132,0.25,0.25,0.5
lexical,4,control,escape,1,1062,1.0,0.0,0.0
lexical,4,control,fish,1,1456,1.0,0.0,0.0
lexical,4,control,gain,1,977,1.0,0.0,0.0
lexical,4,control,"grain, fat",1,1870,1.0,0.0,0.0
lexical,4,control,grow,1,2780,0.0,1.0,0.0
lexical,4,control,hides,1,2331,0.25,0.75,0.0
lexical,4,control,holes,1,2104,1.0,0.0,0.0
lexical,4,control,iodine,1,3331,0.0,0.0,1.0
lexical,4,control,kibble,1,1761,1.0,0.0,0.0
lexical,4,control,legume,1,7084,0.75,0.25,0.0
lexical,4,control,lick,1,1801,1.0,0.0,0.0
lexical,4,control,medicated,1,5619,0.25,0.75,0.0
lexical,4,control,millet,1,1078,1.0,0.0,0.0
lexical,4,control,no bark,1,7969,1.0,0.0,0.0
lexical,4,control,no melt,1,2781,1.0,0.0,0.0
lexical,4,control,non absorbent,1,1507,0.5,0.0,0.5
